,ID,Category,Title,Description,Amenities,Location,guests,beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count,url,bedrooms
0,f9dcbd09-32ac-41d9-a0b1-fdb2793378cf,Treehouses,Red Kite Tree Tent - Ynys Affalon,<class 'str'>,"['What this place offers', 'Bathroom', 'Shampoo', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Services', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer']",Llandrindod Wells United Kingdom,2,1.0,1.0,105,4.6,4.7,4.3,5.0,4.3,4.3,13.0,https://www.airbnb.co.uk/rooms/26620994?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-19&check_out=2022-03-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
1,1b4736a7-e73e-45bc-a9b5-d3e7fcf652fd,Treehouses,Az Alom Cabin - Treehouse Tree to Nature Cabin,<class 'str'>,"['What this place offers', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Guyonvelle Grand Est France,3,3.0,0.0,92,4.3,4.7,4.6,4.9,4.7,4.5,8.0,https://www.airbnb.co.uk/rooms/27055498?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-19&check_out=2022-06-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
2,d577bc30-2222-4bef-a35e-a9825642aec4,Treehouses,"Cabane Entre Les Pins
🌲🏕️🌲",<class 'str'>,"['What this place offers', 'Scenic views', 'Garden view', 'River view', 'Bathroom', 'Cleaning products', 'Cien body soap', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Cotton linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe and chest of drawers', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Children’s tableware', 'Table corner guards', 'Heating and cooling', 'Portable heater', 'Radiant heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Mini fridge', 'Dishwasher', 'Stainless steel cooker', 'Kettle', 'Coffee maker: filter coffee maker', 'Wine glasses', 'Baking sheet', 'Rice cooker', 'Waste compactor', 'Barbecue utensils', 'Grill, charcoal, bamboo skewers/iron skewers, etc.', 'Coffee', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Free resort access', 'Guests can use nearby resort facilities', 'Outdoor', 'Private patio or balcony', 'Private backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill: electric', 'Kayak', 'Parking and facilities', 'Free parking on premises', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Smoking allowed', 'Self check-in', 'Lockbox', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Host has indicated that no carbon monoxide detector is necessary. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Duclair Normandie France,4,2.0,1.5,52,4.2,4.6,4.8,4.8,4.8,4.7,51.0,https://www.airbnb.co.uk/rooms/51427108?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-03&check_out=2022-10-10&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
3,ca9cbfd4-7798-4e8d-8c17-d5a64fba0abc,Treehouses,Tree Top Cabin with log burner & private hot tub,<class 'str'>,"['What this place offers', 'Bathroom', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Parking and facilities', 'Free parking on premises', 'Hot tub', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Barmouth Wales United Kingdom,2,1.0,1.0,132,4.8,4.9,4.9,4.9,5.0,4.6,23.0,https://www.airbnb.co.uk/rooms/49543851?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-05-20&check_out=2022-05-27&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
4,cfe479b9-c8f8-44af-9bc6-46ede9f14bb5,Treehouses,Treehouse near Paris Disney,<class 'str'>,"['What this place offers', 'Bathroom', 'Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Entertainment', 'TV', 'Family', 'Travel cot', 'Children’s books and toys', 'High chair', 'Fireplace guards', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Pocket wifi', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Coffee maker', 'Baking sheet', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Parking and facilities', 'Free parking on premises', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Breakfast', 'Breakfast is provided', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.']",Le Plessis-Feu-Aussoux Île-de-France France,4,3.0,1.0,143,5.0,4.9,5.0,4.7,5.0,4.7,32.0,https://www.airbnb.co.uk/rooms/935398?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-27&check_out=2022-04-03&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2
5,9033002f-5ff2-45df-af91-ef1594ac353f,Treehouses,luxourious Treehouse/lodge,<class 'str'>,"['What this place offers', 'Bathroom', 'Cleaning products', 'Hot water', 'Bedroom and laundry', 'Dryer', 'Bed linen', 'Clothes storage', 'Entertainment', '32"" HDTV with standard cable/satellite', 'Ping pong table', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Freezer', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Launderette nearby', 'Outdoor', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Bikes', 'Parking and facilities', 'Free parking on premises', 'Shared pool', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Cleaning before checkout', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Rijen Noord-Brabant Netherlands,6,5.0,1.0,94,4.2,4.4,4.6,4.3,4.8,4.3,31.0,https://www.airbnb.co.uk/rooms/38786954?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2
6,59705407-dc9b-444f-b0b0-afc472ca7c7f,Treehouses,rooftop cabin with private hot tub,<class 'str'>,"['What this place offers', 'Scenic views', 'Lake view', 'Park view', 'Bathroom', 'Hair dryer', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Baby safety gates', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Kitchen and dining', 'Coffee maker: espresso machine', 'Location features', 'Waterfront', 'Right next to a body of water', 'Outdoor', 'Private patio or balcony', 'Shared backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor kitchen', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Private hot tub', 'Services', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Maisse Île-de-France France,4,3.0,1.0,247,4.9,4.8,4.8,4.6,4.9,4.4,24.0,https://www.airbnb.co.uk/rooms/27255597?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
7,36dc1670-02ae-483b-9384-9261cc0f5abe,Treehouses,CABANE DES GIROLLES - IN THE TREES,<class 'str'>,"['What this place offers', 'Bathroom', 'Hair dryer', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Home safety', 'Smoke alarm', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Pocket wifi', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']",Perret Côtes-d'Armor France,3,2.0,1.0,104,4.5,4.7,4.8,4.8,4.8,4.4,10.0,https://www.airbnb.co.uk/rooms/23274113?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-24&check_out=2022-05-01&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
8,1e304e46-bf16-4ad4-9a94-844346a8c61e,Treehouses,RENARDIÈRE HUT - IN THE TREES,<class 'str'>,"['What this place offers', 'Bathroom', 'Hair dryer', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Home safety', 'Smoke alarm', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Pocket wifi', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']",Perret Côtes-d'Armor France,5,4.0,1.0,106,4.3,4.5,4.4,4.8,4.5,4.1,10.0,https://www.airbnb.co.uk/rooms/9624155?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-12&check_out=2022-06-19&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
9,02395b8b-2732-43a0-b895-8e5b10da1307,Treehouses,La Cabane Les Faines,<class 'str'>,"['What this place offers', 'Bathroom', 'Hair dryer', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Host greets you', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",La Chaussée Normandie France,2,1.0,1.0,126,5.0,5.0,4.8,5.0,5.0,4.8,8.0,https://www.airbnb.co.uk/rooms/28720248?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-04&check_out=2022-04-11&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
